strategy_name,axis,parent_alias,parent_strategy,family,group,side,description,total_trades,total_wins,total_losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,old_ratio_cd_value,mdd_under_5,beats_axis_reference,reference_alias,reference_strategy,reference_cd_value,reference_max_return_pct,reference_max_drawdown_pct
long_main_v1_053_lm13_failed_break_reclaim_02,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_02,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,3994,1087,2907,27.215824,-6.051644,0.270272,6.329071,93.924096,0.042703,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_054_lm13_failed_break_reclaim_03,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_03,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,3644,1091,2553,29.939627,-5.13568,0.358409,6.548651,93.786287,0.05473,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_058_lm13_failed_break_reclaim_07,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_07,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,3976,948,3028,23.843058,-5.813994,0.248282,6.470204,93.762014,0.038373,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_063_lm13_failed_break_reclaim_12,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_12,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,3970,857,3113,21.586902,-5.867008,0.258164,6.587373,93.653784,0.039191,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_059_lm13_failed_break_reclaim_08,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_08,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,3626,940,2686,25.923883,-5.100229,0.339122,6.71137,93.604992,0.050529,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_062_lm13_failed_break_reclaim_11,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_11,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,4362,905,3457,20.747364,-6.313406,0.246286,6.634381,93.595565,0.037123,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_057_lm13_failed_break_reclaim_06,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_06,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,4372,990,3382,22.644099,-6.365845,0.247147,6.641162,93.589572,0.037214,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_068_lm13_failed_break_reclaim_17,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_17,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,3939,759,3180,19.26885,-6.064191,0.241727,6.689484,93.536073,0.036135,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_067_lm13_failed_break_reclaim_16,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_16,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,4327,813,3514,18.788999,-6.349904,0.279954,6.766225,93.494787,0.041375,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
long_main_v1_055_lm13_failed_break_reclaim_04,long_main,long_main_v1,6V2_L01_doubleflush_core,8V13_LONG_MAIN_DIFFERENT_FLOW,lm13_failed_break_reclaim_04,long,저점 이탈 실패 후 회수되는 구간만 잡아 수익률을 보강한다. hard lowanchor가 아니라 reclaim buffer를 사용한다.,3301,1002,2299,30.354438,-5.14697,0.302473,6.804566,93.477324,0.044451,False,False,long_main_v1,6V2_L01_doubleflush_core,121.749029,23.9191,1.7512
