batch_label,strategy_name,parent,family,group,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,cd_formula,old_ratio_cd_value,reference_safe6v2_cd_value,official_pass_mdd_lt_5,ruined,verdict
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_51_lx_deep_absorb_lx051,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_deep_absorb,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_deep_absorb; tag=lx051; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,1024,487,537,47.558594,14.048022,18.270639,3.587138,114.028108422,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),5.093376,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_46_lx_deep_absorb_lx046,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_deep_absorb,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_deep_absorb; tag=lx046; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,1001,473,528,47.252747,13.568662,17.521211,3.363264,113.568662344,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),5.209585,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_41_lx_deep_absorb_lx041,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_deep_absorb,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_deep_absorb; tag=lx041; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,1001,453,548,45.254745,8.889849,12.398668,3.143919,108.864944943,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),3.943699,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_69_lx_trend_repair_lx069,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_trend_repair,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_trend_repair; tag=lx069; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,1316,413,903,31.382979,11.238667,12.007349,3.086406,108.550347932,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),3.890399,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_37_lx_sweep_runner_lx037,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_sweep_runner,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_sweep_runner; tag=lx037; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,965,385,580,39.896373,8.483091,12.805365,3.865324,108.445071403,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),3.312882,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_64_lx_trend_repair_lx064,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_trend_repair,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_trend_repair; tag=lx064; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,1626,489,1137,30.073801,6.401295,10.023131,3.422052,106.258082064,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),2.928983,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_27_lx_sweep_runner_lx027,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_sweep_runner,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_sweep_runner; tag=lx027; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,951,384,567,40.378549,5.826168,11.161624,4.816949,105.807024876,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),2.317156,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_32_lx_sweep_runner_lx032,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_sweep_runner,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_sweep_runner; tag=lx032; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,822,347,475,42.214112,5.213668,9.893751,4.403415,105.054673268,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),2.246836,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_79_lx_trend_repair_lx079,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_trend_repair,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_trend_repair; tag=lx079; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,1626,289,1337,17.773678,4.103847,7.08025,3.204429,103.648938687,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),2.20952,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_13_lx_squeeze_reclaim_lx013,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_squeeze_reclaim,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_squeeze_reclaim; tag=lx013; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,943,347,596,36.797455,3.609227,7.024562,3.296725,103.496256727,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),2.13077,121.7490287208,True,False,official_mdd_pass
8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_8_lx_squeeze_reclaim_lx008,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx_squeeze_reclaim,long,8V11 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx_squeeze_reclaim; tag=lx008; focus=long_max_v1 raw cd leader: push max_return while filtering MDD spikes with fresh gates,5m,597,967,343,624,35.470527,2.896614,7.024389,3.938858,102.808849776,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.783357,121.7490287208,True,False,official_mdd_pass
